"","source","target","mor"
"721","PAX5","EBF1",1
"722","EBF1","PAX5",1
"723","TP53","CREBBP",1
"724","CREBBP","TP53",1
"725","ETS1","PARP1",1
"726","TP53","ACHE",1
"727","TP53","AQP1",1
"728","TP73","AQP1",1
"729","TP73","CREBBP",1
"730","TP73","GADD45A",1
"731","POU2F1","CXCL8",-1
"732","POU2F1","HLA-DRA",-1
"733","ETS1","MGAT5",1
"734","JUN","MGAT5",1
"735","NFYA","CDK1",-1
"736","CEBPG","CD14",1
"737","CEBPB","PRG2",1
"738","GATA1","PRG2",1
"739","GATA1","MBP",1
"740","ZFPM1","MBP",1
"741","CEBPG","MBP",1
"742","CEBPB","MBP",1
"743","PDX1","GCG",1
"744","PDX1","PIK3C3",1
"745","CEBPB","HSP90AA1",1
"746","STAT3","HSP90AA1",1
"747","STAT1","HSP90AA1",-1
"748","STAT1","HSPA4",1
"749","HSF1","HSP90AA1",1
"750","HSF1","HSPA4",1
"751","STAT3","HSPA4",1
"752","APEX1","APEX1",1
"753","CEBPB","HP",1
"754","CEBPB","MAPK1",1
"755","STAT3","HP",1
"756","TEAD2","TP53",1
"757","HIF1A","TFRC",1
"758","MYC","HSPA4",1
"759","SP1","PSEN1",1
"760","NR0B1","NR0B1",1
"761","NR0B1","NR5A1",-1
"762","NR5A1","NR0B1",1
"763","ESR1","TNFRSF11A",1
"764","SP1","SLC25A5",1
"765","SP1","TNFRSF11A",1
"766","ESR1","E2F1",1
"767","SP1","E2F1",1
"768","SP3","CYP11A1",1
"769","TFAP2A","CYP11A1",1
"770","SP1","SPI1",1
"771","SPI1","SP1",1
"772","SPI1","SP3",1
"773","SP3","SPI1",1
"774","SPI1","CYP11A1",1
"775","STAT3","HSP90AB1",1
"776","ZNF281","ODC1",1
"777","ZNF148","ODC1",1
"778","ZNF148","GAST",1
"779","MAZ","PDIK1L",1
"780","TP53","KRAS",1
"781","TFAM","SLC25A5",1
"782","SP1","PLAT",1
"783","SP3","PLAT",1
"784","SPI1","CSF2RB",1
"785","IRF4","IL1B",1
"786","IRF8","IL1B",1
"787","SPI1","IL1B",1
"788","IRF2","IFNG",1
"789","ZBED1","ZBED1",1
"790","SP1","NFKBIA",1
"791","AR","DNM1L",1
"792","AR","SRC",1
"793","NCOA1","MSH6",1
"794","NCOA1","PSMD4",1
"795","NCOA2","DNM1L",1
"796","NCOA2","MSH6",1
"797","NCOA2","PSMD4",1
"798","NCOA2","SRC",1
"799","SP1","RECK",1
"800","RUNX1","BLK",1
"801","PAX5","BLK",1
"802","SREBF2","LDLR",1
"803","FOXA1","AFP",1
"804","NR4A2","TH",1
"805","SPI1","TH",1
"806","SP1","MBP",1
"807","NR0B2","SYK",1
"808","NR0B2","IL2",1
"809","PGR","IGFBP1",1
"810","NR5A1","CYP11A1",1
"811","CEBPB","CXCL8",1
"812","HNF1A","UGT1A1",1
"813","MGA","MGA",1
"814","NFKB1","CCND1",1
"815","RELA","CCND1",1
"816","CEBPD","IL1B",1
"817","CEBPB","IL1B",1
"818","ESR2","FSHB",1
"819","TP53","BAG1",-1
"820","RELA","PLAU",1
"821","MYC","MYC",-1
"822","KLF1","HBB",1
"823","REL","CCL2",1
"824","RELA","CCL2",1
"825","TP53","MDM4",1
"826","TP73","MDM4",1
"827","WT1","MYCN",-1
"828","AHR","CTSD",1
"829","ARNT","CTSD",1
"830","STAT5A","STAT5A",1
"831","CREB1","JUN",-1
"832","SP1","HMGA2",1
"833","SP3","HMGA2",1
"834","CEBPG","PCK1",1
"835","DDIT3","HSPA4",1
"836","FOS","HSPA5",1
"837","PGR","IGFBP5",1
"838","CEBPG","STAR",1
"839","NRG1","EGF",1
"840","NRG1","PIK3R1",1
"841","PPARA","EDN1",-1
"842","ATF2","EP300",1
"843","GATA4","ANKRD1",1
"844","NKX2-5","ANKRD1",1
"845","NFATC2","XCL1",1
"846","RELA","CXCL8",1
"847","LHX3","ESR1",1
"848","NR5A1","SCARB1",1
"849","NFIC","AR",1
"850","TP53","IL2",-1
"851","FOS","CCND2",1
"852","TFAP2A","IL3",1
"853","YY1","IL3",1
"854","PAX3","TYRP1",1
"855","PAX3","FN1",1
"856","MITF","PAX3",1
"857","PAX3","MITF",1
"858","CTCF","LYZ",1
"859","RELA","TNF",1
"860","NFKB1","TNF",1
"861","STAT5A","IL7R",1
"862","CEBPB","CETP",1
"863","CEBPG","CETP",1
"864","WT1","AREG",1
"865","DBP","CYP2A13",1
"866","DBP","IGKV2D-26",1
"867","NFIC","CYP1A1",-1
"868","PITX2","PRL",1
"869","BCL6","IL4",1
"870","BCL6","STAT6",1
"871","STAT6","BCL6",1
"872","BCL6","IGHE",1
"873","RB1","E2F1",-1
"874","E2F1","RB1",1
"875","SP1","LHCGR",1
"876","SP3","LHCGR",1
"877","HNF1B","INS",1
"878","HNF4A","INS",1
"879","TFCP2","HBA1",1
"880","REST","GRIA2",-1
"881","ESRRA","CYP19A1",1
"882","HOXD3","PLAU",1
"883","SP1","PDLIM7",1
"884","SP3","PDLIM7",1
"885","IRF9","IFNL3",1
"886","TFE3","SLC34A1",1
"887","NR2F2","PKLR",-1
"888","ZNF236","PKLR",1
"889","USF1","PKLR",1
"890","JUNB","IL6",-1
"891","STAT3","JUNB",1
"892","SP1","CCND1",1
"893","TFAP2A","MXI1",1
"894","ESR1","TFAP2A",1
"895","TFAP2A","ESR1",1
"896","ESR1","TFAP2C",1
"897","TFAP2C","ESR1",1
"898","IRF1","SLPI",-1
"899","CEBPA","PRL",1
"900","DDIT3","PRL",1
"901","PAX8","TNF",1
"902","PAX8","TG",1
"903","TTF1","TG",1
"904","NKX2-1","TG",1
"905","NKX2-1","TNF",1
"906","TTF1","TNF",1
"907","WT1","IGF1R",-1
"908","PGR","PRL",-1
"909","PDX1","PDX1",1
"910","ESR1","CCND1",1
"911","PBX1","PREB",1
"912","TCF3","PREB",1
"913","PBX1","WNT16",1
"914","TCF3","WNT16",1
"915","MYC","ACHE",1
"916","MYC","KAT2B",1
"917","SP4","SP4",1
