"","ligand","receptor","pair","ligand_gene_id","receptor_gene_id"
"1644","Sct","Vipr2","SCT_VIPR2","ENSMUSG00000038580","ENSMUSG00000011171"
"1645","Selplg","Esam","SELPLG_ESAM","ENSMUSG00000048163","ENSMUSG00000001946"
"1646","Selplg","Itgam","SELPLG_ITGAM","ENSMUSG00000048163","ENSMUSG00000030786"
"1647","Selplg","Itgb2","SELPLG_ITGB2","ENSMUSG00000048163","ENSMUSG00000000290"
"1648","Selplg","Sele","SELPLG_SELE","ENSMUSG00000048163","ENSMUSG00000026582"
"1649","Selplg","Sell","SELPLG_SELL","ENSMUSG00000048163","ENSMUSG00000026581"
"1650","Selplg","Selp","SELPLG_SELP","ENSMUSG00000048163","ENSMUSG00000026580"
"1651","Sema3a","Nrp1","SEMA3A_NRP1","ENSMUSG00000028883","ENSMUSG00000025810"
"1652","Sema3a","Nrp2","SEMA3A_NRP2","ENSMUSG00000028883","ENSMUSG00000025969"
"1653","Sema3a","Plxna1","SEMA3A_PLXNA1","ENSMUSG00000028883","ENSMUSG00000030084"
"1654","Sema3a","Plxna2","SEMA3A_PLXNA2","ENSMUSG00000028883","ENSMUSG00000026640"
"1655","Sema3a","Plxna3","SEMA3A_PLXNA3","ENSMUSG00000028883","ENSMUSG00000031398"
"1656","Sema3a","Plxna4","SEMA3A_PLXNA4","ENSMUSG00000028883","ENSMUSG00000029765"
"1657","Sema3b","Nrp1","SEMA3B_NRP1","ENSMUSG00000057969","ENSMUSG00000025810"
"1658","Sema3b","Nrp2","SEMA3B_NRP2","ENSMUSG00000057969","ENSMUSG00000025969"
"1659","Sema3c","Nrp1","SEMA3C_NRP1","ENSMUSG00000028780","ENSMUSG00000025810"
"1660","Sema3c","Nrp2","SEMA3C_NRP2","ENSMUSG00000028780","ENSMUSG00000025969"
"1661","Sema3c","Plxnd1","SEMA3C_PLXND1","ENSMUSG00000028780","ENSMUSG00000030123"
"1662","Sema3d","Nrp1","SEMA3D_NRP1","ENSMUSG00000040254","ENSMUSG00000025810"
"1663","Sema3e","Nrp1","SEMA3E_NRP1","ENSMUSG00000063531","ENSMUSG00000025810"
"1664","Sema3e","Plxnd1","SEMA3E_PLXND1","ENSMUSG00000063531","ENSMUSG00000030123"
"1665","Sema3f","Nrp1","SEMA3F_NRP1","ENSMUSG00000034684","ENSMUSG00000025810"
"1666","Sema3f","Nrp2","SEMA3F_NRP2","ENSMUSG00000034684","ENSMUSG00000025969"
"1667","Sema3f","Plxna1","SEMA3F_PLXNA1","ENSMUSG00000034684","ENSMUSG00000030084"
"1668","Sema3f","Plxna3","SEMA3F_PLXNA3","ENSMUSG00000034684","ENSMUSG00000031398"
"1669","Sema3g","Nrp2","SEMA3G_NRP2","ENSMUSG00000021904","ENSMUSG00000025969"
"1670","Sema4a","Plxnd1","SEMA4A_PLXND1","ENSMUSG00000028064","ENSMUSG00000030123"
"1671","Sema4b","Dcbld2","SEMA4B_DCBLD2","ENSMUSG00000030539","ENSMUSG00000035107"
"1672","Sema4c","Plxnb2","SEMA4C_PLXNB2","ENSMUSG00000026121","ENSMUSG00000036606"
"1673","Sema4d","Cd72","SEMA4D_CD72","ENSMUSG00000021451","ENSMUSG00000028459"
"1674","Sema4d","Erbb2","SEMA4D_ERBB2","ENSMUSG00000021451","ENSMUSG00000062312"
"1675","Sema4d","Met","SEMA4D_MET","ENSMUSG00000021451","ENSMUSG00000009376"
"1676","Sema4d","Plxnb1","SEMA4D_PLXNB1","ENSMUSG00000021451","ENSMUSG00000053646"
"1677","Sema4d","Plxnb2","SEMA4D_PLXNB2","ENSMUSG00000021451","ENSMUSG00000036606"
"1678","Sema4f","Nrp2","SEMA4F_NRP2","ENSMUSG00000000627","ENSMUSG00000025969"
"1679","Sema4g","Plxnb2","SEMA4G_PLXNB2","ENSMUSG00000025207","ENSMUSG00000036606"
"1680","Sema5a","Met","SEMA5A_MET","ENSMUSG00000022231","ENSMUSG00000009376"
"1681","Sema5a","Plxnb3","SEMA5A_PLXNB3","ENSMUSG00000022231","ENSMUSG00000031385"
"1682","Sema6a","Plxna2","SEMA6A_PLXNA2","ENSMUSG00000019647","ENSMUSG00000026640"
"1683","Sema6a","Plxna4","SEMA6A_PLXNA4","ENSMUSG00000019647","ENSMUSG00000029765"
"1684","Sema6d","Kdr","SEMA6D_KDR","ENSMUSG00000027200","ENSMUSG00000062960"
"1685","Sema6d","Plxna1","SEMA6D_PLXNA1","ENSMUSG00000027200","ENSMUSG00000030084"
"1686","Sema6d","Trem2","SEMA6D_TREM2","ENSMUSG00000027200","ENSMUSG00000023992"
"1687","Sema6d","Tyrobp","SEMA6D_TYROBP","ENSMUSG00000027200","ENSMUSG00000030579"
"1688","Sema7a","Itga1","SEMA7A_ITGA1","ENSMUSG00000038264","ENSMUSG00000042284"
"1689","Sema7a","Itgb1","SEMA7A_ITGB1","ENSMUSG00000038264","ENSMUSG00000025809"
"1690","Sema7a","Plxnc1","SEMA7A_PLXNC1","ENSMUSG00000038264","ENSMUSG00000074785"
"1691","Serpina7","Slc16a2","SERPINA7_SLC16A2","ENSMUSG00000031271","ENSMUSG00000033965"
"1692","Serpinc1","Gpc1","SERPINC1_GPC1","ENSMUSG00000026715","ENSMUSG00000034220"
"1693","Serpinc1","Lrp1","SERPINC1_LRP1","ENSMUSG00000026715","ENSMUSG00000040249"
"1694","Serpinc1","Sdc2","SERPINC1_SDC2","ENSMUSG00000026715","ENSMUSG00000022261"
"1695","Serpine1","Itgav","SERPINE1_ITGAV","ENSMUSG00000037411","ENSMUSG00000027087"
"1696","Serpine1","Itgb5","SERPINE1_ITGB5","ENSMUSG00000037411","ENSMUSG00000022817"
"1697","Serpine1","Lrp1","SERPINE1_LRP1","ENSMUSG00000037411","ENSMUSG00000040249"
"1698","Serpine1","Lrp2","SERPINE1_LRP2","ENSMUSG00000037411","ENSMUSG00000027070"
"1699","Serpine1","Plaur","SERPINE1_PLAUR","ENSMUSG00000037411","ENSMUSG00000046223"
"1700","Serpine2","Lrp1","SERPINE2_LRP1","ENSMUSG00000026249","ENSMUSG00000040249"
"1701","Serping1","Lrp1","SERPING1_LRP1","ENSMUSG00000023224","ENSMUSG00000040249"
"1702","Serping1","Sele","SERPING1_SELE","ENSMUSG00000023224","ENSMUSG00000026582"
"1703","Serping1","Selp","SERPING1_SELP","ENSMUSG00000023224","ENSMUSG00000026580"
