"","ligand","receptor","pair","ligand_gene_id","receptor_gene_id"
"1850","Tnf","Ltbr","TNF_LTBR","ENSMUSG00000024401","ENSMUSG00000030339"
"1851","Tnf","Slc5a11","TNF_SLC5A11","ENSMUSG00000024401","ENSMUSG00000030769"
"1852","Tnf","Tnfrsf1a","TNF_TNFRSF1A","ENSMUSG00000024401","ENSMUSG00000030341"
"1853","Tnf","Tnfrsf1b","TNF_TNFRSF1B","ENSMUSG00000024401","ENSMUSG00000028599"
"1854","Tnf","Tnfrsf21","TNF_TNFRSF21","ENSMUSG00000024401","ENSMUSG00000023915"
"1855","Tnf","Traf2","TNF_TRAF2","ENSMUSG00000024401","ENSMUSG00000026942"
"1856","Tnfsf10","Tnfrsf11b","TNFSF10_TNFRSF11B","ENSMUSG00000039304","ENSMUSG00000063727"
"1857","Tnfsf11","Tnfrsf11a","TNFSF11_TNFRSF11A","ENSMUSG00000022015","ENSMUSG00000026321"
"1858","Tnfsf11","Tnfrsf11b","TNFSF11_TNFRSF11B","ENSMUSG00000022015","ENSMUSG00000063727"
"1859","Tnfsf12","Tnfrsf12a","TNFSF12_TNFRSF12A","ENSMUSG00000097328","ENSMUSG00000023905"
"1860","Tnfsf12","Tnfrsf25","TNFSF12_TNFRSF25","ENSMUSG00000097328","ENSMUSG00000024793"
"1861","Tnfsf13","Fas","TNFSF13_FAS","ENSMUSG00000089669","ENSMUSG00000024778"
"1862","Tnfsf13","Sdc2","TNFSF13_SDC2","ENSMUSG00000089669","ENSMUSG00000022261"
"1863","Tnfsf13","Tnfrsf11b","TNFSF13_TNFRSF11B","ENSMUSG00000089669","ENSMUSG00000063727"
"1864","Tnfsf13","Tnfrsf13b","TNFSF13_TNFRSF13B","ENSMUSG00000089669","ENSMUSG00000010142"
"1865","Tnfsf13","Tnfrsf14","TNFSF13_TNFRSF14","ENSMUSG00000089669","ENSMUSG00000042333"
"1866","Tnfsf13","Tnfrsf17","TNFSF13_TNFRSF17","ENSMUSG00000089669","ENSMUSG00000022496"
"1867","Tnfsf13","Tnfrsf1a","TNFSF13_TNFRSF1A","ENSMUSG00000089669","ENSMUSG00000030341"
"1868","Tnfsf13b","Tnfrsf13b","TNFSF13B_TNFRSF13B","ENSMUSG00000031497","ENSMUSG00000010142"
"1869","Tnfsf13b","Tnfrsf13c","TNFSF13B_TNFRSF13C","ENSMUSG00000031497","ENSMUSG00000068105"
"1870","Tnfsf13b","Tnfrsf17","TNFSF13B_TNFRSF17","ENSMUSG00000031497","ENSMUSG00000022496"
"1871","Tnfsf14","Ltbr","TNFSF14_LTBR","ENSMUSG00000005824","ENSMUSG00000030339"
"1872","Tnfsf14","Tnfrsf14","TNFSF14_TNFRSF14","ENSMUSG00000005824","ENSMUSG00000042333"
"1873","Tnfsf15","Tnfrsf25","TNFSF15_TNFRSF25","ENSMUSG00000050395","ENSMUSG00000024793"
"1874","Tnfsf18","Tnfrsf18","TNFSF18_TNFRSF18","ENSMUSG00000066755","ENSMUSG00000041954"
"1875","Tnfsf4","Tnfrsf4","TNFSF4_TNFRSF4","ENSMUSG00000026700","ENSMUSG00000029075"
"1876","Tnfsf4","Traf2","TNFSF4_TRAF2","ENSMUSG00000026700","ENSMUSG00000026942"
"1877","Tnfsf8","Tnfrsf8","TNFSF8_TNFRSF8","ENSMUSG00000028362","ENSMUSG00000028602"
"1878","Tnfsf9","Tnfrsf9","TNFSF9_TNFRSF9","ENSMUSG00000035678","ENSMUSG00000028965"
"1879","Tnfsf9","Traf2","TNFSF9_TRAF2","ENSMUSG00000035678","ENSMUSG00000026942"
"1880","Trh","Trhr","TRH_TRHR","ENSMUSG00000005892","ENSMUSG00000038760"
"1881","Tshb","Tshr","TSHB_TSHR","ENSMUSG00000027857","ENSMUSG00000020963"
"1882","Tslp","Il7r","TSLP_IL7R","ENSMUSG00000024379","ENSMUSG00000003882"
"1883","Ucn","Crhr1","UCN_CRHR1","ENSMUSG00000038676","ENSMUSG00000018634"
"1884","Ucn","Crhr2","UCN_CRHR2","ENSMUSG00000038676","ENSMUSG00000003476"
"1885","Ucn2","Crhr1","UCN2_CRHR1","ENSMUSG00000049699","ENSMUSG00000018634"
"1886","Ucn2","Crhr2","UCN2_CRHR2","ENSMUSG00000049699","ENSMUSG00000003476"
"1887","Ucn3","Crhr1","UCN3_CRHR1","ENSMUSG00000044988","ENSMUSG00000018634"
"1888","Ucn3","Crhr2","UCN3_CRHR2","ENSMUSG00000044988","ENSMUSG00000003476"
"1889","Uts2","Uts2r","UTS2_UTS2R","ENSMUSG00000028963","ENSMUSG00000039321"
"1890","Uts2b","Uts2r","UTS2B_UTS2R","ENSMUSG00000056423","ENSMUSG00000039321"
"1891","Vcam1","Itga4","VCAM1_ITGA4","ENSMUSG00000027962","ENSMUSG00000027009"
"1892","Vcam1","Itga9","VCAM1_ITGA9","ENSMUSG00000027962","ENSMUSG00000039115"
"1893","Vcam1","Itgb1","VCAM1_ITGB1","ENSMUSG00000027962","ENSMUSG00000025809"
"1894","Vcam1","Itgb2","VCAM1_ITGB2","ENSMUSG00000027962","ENSMUSG00000000290"
"1895","Vcam1","Itgb7","VCAM1_ITGB7","ENSMUSG00000027962","ENSMUSG00000001281"
"1896","Vcan","Cd44","VCAN_CD44","ENSMUSG00000021614","ENSMUSG00000005087"
"1897","Vcan","Egfr","VCAN_EGFR","ENSMUSG00000021614","ENSMUSG00000020122"
"1898","Vcan","Itga4","VCAN_ITGA4","ENSMUSG00000021614","ENSMUSG00000027009"
"1899","Vcan","Itgb1","VCAN_ITGB1","ENSMUSG00000021614","ENSMUSG00000025809"
"1900","Vcan","Sell","VCAN_SELL","ENSMUSG00000021614","ENSMUSG00000026581"
"1901","Vcan","Selp","VCAN_SELP","ENSMUSG00000021614","ENSMUSG00000026580"
"1902","Vcan","Tlr1","VCAN_TLR1","ENSMUSG00000021614","ENSMUSG00000044827"
"1903","Vcan","Tlr2","VCAN_TLR2","ENSMUSG00000021614","ENSMUSG00000027995"
"1904","Vegfa","Egfr","VEGFA_EGFR","ENSMUSG00000023951","ENSMUSG00000020122"
"1905","Vegfa","Ephb2","VEGFA_EPHB2","ENSMUSG00000023951","ENSMUSG00000028664"
"1906","Vegfa","Flt1","VEGFA_FLT1","ENSMUSG00000023951","ENSMUSG00000029648"
"1907","Vegfa","Gpc1","VEGFA_GPC1","ENSMUSG00000023951","ENSMUSG00000034220"
"1908","Vegfa","Itga9","VEGFA_ITGA9","ENSMUSG00000023951","ENSMUSG00000039115"
"1909","Vegfa","Itgav","VEGFA_ITGAV","ENSMUSG00000023951","ENSMUSG00000027087"
"1910","Vegfa","Itgb1","VEGFA_ITGB1","ENSMUSG00000023951","ENSMUSG00000025809"
"1911","Vegfa","Kdr","VEGFA_KDR","ENSMUSG00000023951","ENSMUSG00000062960"
"1912","Vegfa","Nrp1","VEGFA_NRP1","ENSMUSG00000023951","ENSMUSG00000025810"
"1913","Vegfa","Nrp2","VEGFA_NRP2","ENSMUSG00000023951","ENSMUSG00000025969"
"1914","Vegfa","Ret","VEGFA_RET","ENSMUSG00000023951","ENSMUSG00000030110"
"1915","Vegfa","Tyro3","VEGFA_TYRO3","ENSMUSG00000023951","ENSMUSG00000027298"
"1916","Vegfb","Flt1","VEGFB_FLT1","ENSMUSG00000024962","ENSMUSG00000029648"
"1917","Vegfb","Nrp1","VEGFB_NRP1","ENSMUSG00000024962","ENSMUSG00000025810"
"1918","Vegfb","Ret","VEGFB_RET","ENSMUSG00000024962","ENSMUSG00000030110"
"1919","Vegfb","Tyro3","VEGFB_TYRO3","ENSMUSG00000024962","ENSMUSG00000027298"
"1920","Vegfc","Flt1","VEGFC_FLT1","ENSMUSG00000031520","ENSMUSG00000029648"
"1921","Vegfc","Flt4","VEGFC_FLT4","ENSMUSG00000031520","ENSMUSG00000020357"
"1922","Vegfc","Itga9","VEGFC_ITGA9","ENSMUSG00000031520","ENSMUSG00000039115"
"1923","Vegfc","Itgb1","VEGFC_ITGB1","ENSMUSG00000031520","ENSMUSG00000025809"
"1924","Vegfc","Kdr","VEGFC_KDR","ENSMUSG00000031520","ENSMUSG00000062960"
"1925","Vegfc","Lyve1","VEGFC_LYVE1","ENSMUSG00000031520","ENSMUSG00000030787"
"1926","Vegfc","Nrp2","VEGFC_NRP2","ENSMUSG00000031520","ENSMUSG00000025969"
"1927","Vegfc","Vipr2","VEGFC_VIPR2","ENSMUSG00000031520","ENSMUSG00000011171"
"1928","Vim","Cd44","VIM_CD44","ENSMUSG00000026728","ENSMUSG00000005087"
"1929","Vip","Adcyap1r1","VIP_ADCYAP1R1","ENSMUSG00000019772","ENSMUSG00000029778"
"1930","Vip","Npr3","VIP_NPR3","ENSMUSG00000019772","ENSMUSG00000022206"
"1931","Vip","Sctr","VIP_SCTR","ENSMUSG00000019772","ENSMUSG00000026387"
"1932","Vip","Vipr1","VIP_VIPR1","ENSMUSG00000019772","ENSMUSG00000032528"
"1933","Vip","Vipr2","VIP_VIPR2","ENSMUSG00000019772","ENSMUSG00000011171"
"1934","Vtn","Cd47","VTN_CD47","ENSMUSG00000017344","ENSMUSG00000055447"
"1935","Vtn","Itga2b","VTN_ITGA2B","ENSMUSG00000017344","ENSMUSG00000034664"
"1936","Vtn","Itga3","VTN_ITGA3","ENSMUSG00000017344","ENSMUSG00000001507"
"1937","Vtn","Itga5","VTN_ITGA5","ENSMUSG00000017344","ENSMUSG00000000555"
"1938","Vtn","Itga8","VTN_ITGA8","ENSMUSG00000017344","ENSMUSG00000026768"
"1939","Vtn","Itgav","VTN_ITGAV","ENSMUSG00000017344","ENSMUSG00000027087"
"1940","Vtn","Itgb1","VTN_ITGB1","ENSMUSG00000017344","ENSMUSG00000025809"
"1941","Vtn","Itgb3","VTN_ITGB3","ENSMUSG00000017344","ENSMUSG00000020689"
"1942","Vtn","Itgb5","VTN_ITGB5","ENSMUSG00000017344","ENSMUSG00000022817"
"1943","Vtn","Itgb6","VTN_ITGB6","ENSMUSG00000017344","ENSMUSG00000026971"
"1944","Vtn","Itgb8","VTN_ITGB8","ENSMUSG00000017344","ENSMUSG00000025321"
"1945","Vtn","Kdr","VTN_KDR","ENSMUSG00000017344","ENSMUSG00000062960"
"1946","Vtn","Plaur","VTN_PLAUR","ENSMUSG00000017344","ENSMUSG00000046223"
"1947","Vtn","Pvr","VTN_PVR","ENSMUSG00000017344","ENSMUSG00000040511"
"1948","Vtn","Tnfrsf11b","VTN_TNFRSF11B","ENSMUSG00000017344","ENSMUSG00000063727"
"1949","Vwf","Gp1ba","VWF_GP1BA","ENSMUSG00000001930","ENSMUSG00000050675"
"1950","Vwf","Itga2b","VWF_ITGA2B","ENSMUSG00000001930","ENSMUSG00000034664"
"1951","Vwf","Selp","VWF_SELP","ENSMUSG00000001930","ENSMUSG00000026580"
"1952","Vwf","Tnfrsf11b","VWF_TNFRSF11B","ENSMUSG00000001930","ENSMUSG00000063727"
"1953","Wnt1","Fzd1","WNT1_FZD1","ENSMUSG00000022997","ENSMUSG00000044674"
"1954","Wnt1","Fzd3","WNT1_FZD3","ENSMUSG00000022997","ENSMUSG00000007989"
"1955","Wnt1","Fzd5","WNT1_FZD5","ENSMUSG00000022997","ENSMUSG00000045005"
"1956","Wnt1","Fzd7","WNT1_FZD7","ENSMUSG00000022997","ENSMUSG00000041075"
"1957","Wnt1","Fzd8","WNT1_FZD8","ENSMUSG00000022997","ENSMUSG00000036904"
"1958","Wnt1","Fzd9","WNT1_FZD9","ENSMUSG00000022997","ENSMUSG00000049551"
"1959","Wnt1","Lrp5","WNT1_LRP5","ENSMUSG00000022997","ENSMUSG00000024913"
"1960","Wnt1","Lrp6","WNT1_LRP6","ENSMUSG00000022997","ENSMUSG00000030201"
"1961","Wnt1","Ryk","WNT1_RYK","ENSMUSG00000022997","ENSMUSG00000032547"
"1962","Wnt11","Fzd7","WNT11_FZD7","ENSMUSG00000015957","ENSMUSG00000041075"
"1963","Wnt16","Fzd6","WNT16_FZD6","ENSMUSG00000029671","ENSMUSG00000022297"
"1964","Wnt2","Fzd1","WNT2_FZD1","ENSMUSG00000010797","ENSMUSG00000044674"
"1965","Wnt2","Fzd5","WNT2_FZD5","ENSMUSG00000010797","ENSMUSG00000045005"
"1966","Wnt2","Fzd7","WNT2_FZD7","ENSMUSG00000010797","ENSMUSG00000041075"
"1967","Wnt2","Fzd8","WNT2_FZD8","ENSMUSG00000010797","ENSMUSG00000036904"
"1968","Wnt2","Fzd9","WNT2_FZD9","ENSMUSG00000010797","ENSMUSG00000049551"
"1969","Wnt2","Lrp6","WNT2_LRP6","ENSMUSG00000010797","ENSMUSG00000030201"
"1970","Wnt3","Fzd1","WNT3_FZD1","ENSMUSG00000000125","ENSMUSG00000044674"
"1971","Wnt3","Fzd5","WNT3_FZD5","ENSMUSG00000000125","ENSMUSG00000045005"
"1972","Wnt3","Fzd7","WNT3_FZD7","ENSMUSG00000000125","ENSMUSG00000041075"
"1973","Wnt3","Fzd8","WNT3_FZD8","ENSMUSG00000000125","ENSMUSG00000036904"
"1974","Wnt3","Lrp6","WNT3_LRP6","ENSMUSG00000000125","ENSMUSG00000030201"
"1975","Wnt3","Ryk","WNT3_RYK","ENSMUSG00000000125","ENSMUSG00000032547"
"1976","Wnt3a","Apcdd1","WNT3A_APCDD1","ENSMUSG00000009900","ENSMUSG00000071847"
"1977","Wnt3a","Atp6ap2","WNT3A_ATP6AP2","ENSMUSG00000009900","ENSMUSG00000031007"
"1978","Wnt3a","Fzd1","WNT3A_FZD1","ENSMUSG00000009900","ENSMUSG00000044674"
"1979","Wnt3a","Fzd2","WNT3A_FZD2","ENSMUSG00000009900","ENSMUSG00000050288"
"1980","Wnt3a","Fzd5","WNT3A_FZD5","ENSMUSG00000009900","ENSMUSG00000045005"
"1981","Wnt3a","Fzd6","WNT3A_FZD6","ENSMUSG00000009900","ENSMUSG00000022297"
"1982","Wnt3a","Fzd7","WNT3A_FZD7","ENSMUSG00000009900","ENSMUSG00000041075"
"1983","Wnt3a","Fzd8","WNT3A_FZD8","ENSMUSG00000009900","ENSMUSG00000036904"
"1984","Wnt3a","Lrp1","WNT3A_LRP1","ENSMUSG00000009900","ENSMUSG00000040249"
"1985","Wnt3a","Lrp6","WNT3A_LRP6","ENSMUSG00000009900","ENSMUSG00000030201"
"1986","Wnt3a","Ryk","WNT3A_RYK","ENSMUSG00000009900","ENSMUSG00000032547"
"1987","Wnt4","Fzd2","WNT4_FZD2","ENSMUSG00000036856","ENSMUSG00000050288"
"1988","Wnt4","Fzd6","WNT4_FZD6","ENSMUSG00000036856","ENSMUSG00000022297"
"1989","Wnt5a","Fzd1","WNT5A_FZD1","ENSMUSG00000021994","ENSMUSG00000044674"
"1990","Wnt5a","Fzd2","WNT5A_FZD2","ENSMUSG00000021994","ENSMUSG00000050288"
"1991","Wnt5a","Fzd4","WNT5A_FZD4","ENSMUSG00000021994","ENSMUSG00000049791"
"1992","Wnt5a","Fzd5","WNT5A_FZD5","ENSMUSG00000021994","ENSMUSG00000045005"
"1993","Wnt5a","Fzd6","WNT5A_FZD6","ENSMUSG00000021994","ENSMUSG00000022297"
"1994","Wnt5a","Fzd7","WNT5A_FZD7","ENSMUSG00000021994","ENSMUSG00000041075"
"1995","Wnt5a","Fzd8","WNT5A_FZD8","ENSMUSG00000021994","ENSMUSG00000036904"
"1996","Wnt5a","Lrp5","WNT5A_LRP5","ENSMUSG00000021994","ENSMUSG00000024913"
"1997","Wnt5a","Mcam","WNT5A_MCAM","ENSMUSG00000021994","ENSMUSG00000032135"
"1998","Wnt5a","Ror1","WNT5A_ROR1","ENSMUSG00000021994","ENSMUSG00000035305"
"1999","Wnt5a","Ror2","WNT5A_ROR2","ENSMUSG00000021994","ENSMUSG00000021464"
"2000","Wnt5a","Ryk","WNT5A_RYK","ENSMUSG00000021994","ENSMUSG00000032547"
"2001","Wnt7a","Fzd10","WNT7A_FZD10","ENSMUSG00000030093","ENSMUSG00000081683"
"2002","Wnt7a","Fzd5","WNT7A_FZD5","ENSMUSG00000030093","ENSMUSG00000045005"
"2003","Wnt7a","Fzd9","WNT7A_FZD9","ENSMUSG00000030093","ENSMUSG00000049551"
"2004","Wnt7a","Lrp6","WNT7A_LRP6","ENSMUSG00000030093","ENSMUSG00000030201"
"2005","Wnt7b","Fzd1","WNT7B_FZD1","ENSMUSG00000022382","ENSMUSG00000044674"
"2006","Wnt7b","Fzd10","WNT7B_FZD10","ENSMUSG00000022382","ENSMUSG00000081683"
"2007","Wnt7b","Lrp5","WNT7B_LRP5","ENSMUSG00000022382","ENSMUSG00000024913"
"2008","Zp3","Egfr","ZP3_EGFR","ENSMUSG00000004948","ENSMUSG00000020122"
"2009","Zp3","Mertk","ZP3_MERTK","ENSMUSG00000004948","ENSMUSG00000014361"
