"","ligand","receptor","Ligand.receptor.pair","Source","PMID.support","Ligand.HGNC.ID","Ligand.location","Receptor.HGNC.ID","HGNC.L.R","secondary.source."
"1","A2M","LRP1","A2M LRP1","Ramilowski_2015_Literature_supported","1702392, 10652313, 12194978,","HGNC:7","secreted","HGNC:6692","HGNC:7 HGNC:6692",""
"2","AANAT","MTNR1A","AANAT MTNR1A","Ramilowski_2015_Literature_supported","12943195,","HGNC:19","secreted","HGNC:7463","HGNC:19 HGNC:7463",""
"3","AANAT","MTNR1B","AANAT MTNR1B","Ramilowski_2015_Literature_supported","12943195,","HGNC:19","secreted","HGNC:7464","HGNC:19 HGNC:7464",""
"4","ACE","BDKRB2","ACE BDKRB2","Ramilowski_2015_Literature_supported","10748135,","HGNC:2707","plasma membrane; secreted","HGNC:1030","HGNC:2707 HGNC:1030",""
"5","ADAM10","EPHA3","ADAM10 EPHA3","Ramilowski_2015_Literature_supported","16239146,","HGNC:188","plasma membrane","HGNC:3387","HGNC:188 HGNC:3387",""
"6","ADAM11","ITGA4","ADAM11 ITGA4","Hou et al. 2020 (this publication)","28913673,","HGNC:189","plasma membrane","HGNC:6140","HGNC:189 HGNC:6140",""
"7","ADAM12","ITGA9","ADAM12 ITGA9","Ramilowski_2015_Literature_supported","10944520,","HGNC:190","plasma membrane","HGNC:6145","HGNC:190 HGNC:6145",""
"8","ADAM12","ITGB1","ADAM12 ITGB1","Ramilowski_2015_Literature_supported","10944520,","HGNC:190","plasma membrane","HGNC:6153","HGNC:190 HGNC:6153",""
"9","ADAM12","SDC4","ADAM12 SDC4","Ramilowski_2015_Literature_supported","12509413,","HGNC:190","plasma membrane","HGNC:10661","HGNC:190 HGNC:10661",""
"10","ADAM15","ITGA5","ADAM15 ITGA5","Ramilowski_2015_Literature_supported","9914169, 9516430,","HGNC:193","plasma membrane","HGNC:6141","HGNC:193 HGNC:6141",""
"11","ADAM15","ITGA9","ADAM15 ITGA9","Ramilowski_2015_Literature_supported","10944520,","HGNC:193","plasma membrane","HGNC:6145","HGNC:193 HGNC:6145",""
"12","ADAM15","ITGAV","ADAM15 ITGAV","Ramilowski_2015_Literature_supported","9914169,","HGNC:193","plasma membrane","HGNC:6150","HGNC:193 HGNC:6150",""
"13","ADAM15","ITGB1","ADAM15 ITGB1","Ramilowski_2015_Literature_supported","9914169, 10944520,","HGNC:193","plasma membrane","HGNC:6153","HGNC:193 HGNC:6153",""
"14","ADAM15","ITGB3","ADAM15 ITGB3","Ramilowski_2015_Literature_supported","9516430,","HGNC:193","plasma membrane","HGNC:6156","HGNC:193 HGNC:6156",""
"15","ADAM17","ITGA5","ADAM17 ITGA5","Ramilowski_2015_Literature_supported","14970227,","HGNC:195","plasma membrane","HGNC:6141","HGNC:195 HGNC:6141",""
"16","ADAM17","ITGB1","ADAM17 ITGB1","Ramilowski_2015_Literature_supported","14970227,","HGNC:195","plasma membrane","HGNC:6153","HGNC:195 HGNC:6153",""
"17","ADAM17","NOTCH1","ADAM17 NOTCH1","Ramilowski_2015_Literature_supported","10882063, 9620803,","HGNC:195","plasma membrane","HGNC:7881","HGNC:195 HGNC:7881",""
"18","ADAM2","ITGA6","ADAM2 ITGA6","Ramilowski_2015_Literature_supported","9889149,","HGNC:198","plasma membrane","HGNC:6142","HGNC:198 HGNC:6142",""
"19","ADAM2","ITGA9","ADAM2 ITGA9","Ramilowski_2015_Literature_supported","21060781,","HGNC:198","plasma membrane","HGNC:6145","HGNC:198 HGNC:6145",""
"20","ADAM2","ITGB1","ADAM2 ITGB1","Ramilowski_2015_Literature_supported","9889149,","HGNC:198","plasma membrane","HGNC:6153","HGNC:198 HGNC:6153",""
"21","ADAM2","ITGB7","ADAM2 ITGB7","Ramilowski_2015_Literature_supported","21060781,","HGNC:198","plasma membrane","HGNC:6162","HGNC:198 HGNC:6162",""
"22","ADAM23","ITGA4","ADAM23 ITGA4","Hou et al. 2020 (this publication)","28913673,","HGNC:202","plasma membrane","HGNC:6140","HGNC:202 HGNC:6140",""
"23","ADAM23","ITGA5","ADAM23 ITGA5","Ramilowski_2015_Literature_supported","10749942,","HGNC:202","plasma membrane","HGNC:6141","HGNC:202 HGNC:6141",""
"24","ADAM23","ITGB3","ADAM23 ITGB3","Ramilowski_2015_Literature_supported","10749942,","HGNC:202","plasma membrane","HGNC:6156","HGNC:202 HGNC:6156",""
"25","ADAM28","ITGA4","ADAM28 ITGA4","Ramilowski_2015_Literature_supported","11724793,","HGNC:206","plasma membrane","HGNC:6140","HGNC:206 HGNC:6140",""
"26","ADAM29","ITGA4","ADAM29 ITGA4","Hou et al. 2020 (this publication)","28913673,","HGNC:207","plasma membrane","HGNC:6140","HGNC:207 HGNC:6140",""
"27","ADAM7","ITGA4","ADAM7 ITGA4","Hou et al. 2020 (this publication)","15504110,","HGNC:214","plasma membrane","HGNC:6140","HGNC:214 HGNC:6140",""
"28","ADAM7","ITGB7","ADAM7 ITGB7","Hou et al. 2020 (this publication)","15504110,","HGNC:214","plasma membrane","HGNC:6162","HGNC:214 HGNC:6162",""
"29","ADAM9","ITGA3","ADAM9 ITGA3","Ramilowski_2015_Literature_supported","15361064,","HGNC:216","plasma membrane","HGNC:6139","HGNC:216 HGNC:6139",""
"30","ADAM9","ITGA6","ADAM9 ITGA6","Ramilowski_2015_Literature_supported","10825303,15361064,","HGNC:216","plasma membrane","HGNC:6142","HGNC:216 HGNC:6142",""
"31","ADAM9","ITGAV","ADAM9 ITGAV","Ramilowski_2015_Literature_supported","11162558,15361064,","HGNC:216","plasma membrane","HGNC:6150","HGNC:216 HGNC:6150",""
"32","ADAM9","ITGB1","ADAM9 ITGB1","Ramilowski_2015_Literature_supported","10825303,","HGNC:216","plasma membrane","HGNC:6153","HGNC:216 HGNC:6153",""
"33","ADAM9","ITGB5","ADAM9 ITGB5","Ramilowski_2015_Literature_supported","11162558,","HGNC:216","plasma membrane","HGNC:6160","HGNC:216 HGNC:6160",""
"34","ADCYAP1","ADCYAP1R1","ADCYAP1 ADCYAP1R1","Ramilowski_2015_Literature_supported","10100920, 8703026,10583729, 16930633, 11931347,10583729, 8253796,","HGNC:241","secreted","HGNC:242","HGNC:241 HGNC:242","CellphoneDB"
"35","ADCYAP1","SCTR","ADCYAP1 SCTR","Ramilowski_2015_Literature_supported","1335692,","HGNC:241","secreted","HGNC:10608","HGNC:241 HGNC:10608","CellphoneDB"
"36","ADCYAP1","VIPR1","ADCYAP1 VIPR1","Ramilowski_2015_Literature_supported","11897681,9928018, 11931347, 16930633, 8791009,12429744,","HGNC:241","secreted","HGNC:12694","HGNC:241 HGNC:12694",""
"37","ADCYAP1","VIPR2","ADCYAP1 VIPR2","Ramilowski_2015_Literature_supported","16930633, 11978642, 9928018, 11931347,8146174,","HGNC:241","secreted","HGNC:12695","HGNC:241 HGNC:12695",""
"38","ADGRB1","RTN4R","ADGRB1 RTN4R","Hou et al. 2020 (this publication)","30477585,","HGNC:943","plasma membrane","HGNC:18601","HGNC:943 HGNC:18601",""
"39","ADGRB1","RTN4RL1","ADGRB1 RTN4RL1","Hou et al. 2020 (this publication)","30477585,","HGNC:943","plasma membrane","HGNC:21329","HGNC:943 HGNC:21329",""
"40","ADGRB1","RTN4RL2","ADGRB1 RTN4RL2","Hou et al. 2020 (this publication)","30477585,","HGNC:943","plasma membrane","HGNC:23053","HGNC:943 HGNC:23053",""
"41","ADGRE5","CD55","ADGRE5 CD55","Baccin et al. 2020 (RNA-Magnet)","23447688,","HGNC:1711","plasma membrane","HGNC:2665","HGNC:1711 HGNC:2665",""
"42","ADIPOQ","ADIPOR1","ADIPOQ ADIPOR1","Ramilowski_2015_Literature_supported","12802337,","HGNC:13633","secreted","HGNC:24040","HGNC:13633 HGNC:24040",""
"43","ADIPOQ","ADIPOR2","ADIPOQ ADIPOR2","Ramilowski_2015_Literature_supported","12802337,12802337,","HGNC:13633","secreted","HGNC:24041","HGNC:13633 HGNC:24041",""
"44","ADM","CALCR","ADM CALCR","Ramilowski_2015_Literature_supported","15692146, 12565884,","HGNC:259","secreted","HGNC:1440","HGNC:259 HGNC:1440","CellphoneDB"
"45","ADM","CALCRL","ADM CALCRL","Ramilowski_2015_Literature_supported","9620797,9620797,","HGNC:259","secreted","HGNC:16709","HGNC:259 HGNC:16709",""
"46","ADM","MRGPRX2","ADM MRGPRX2","Ramilowski_2015_Literature_supported","16111673,15823563,","HGNC:259","secreted","HGNC:17983","HGNC:259 HGNC:17983","CellphoneDB"
"47","ADM","RAMP2","ADM RAMP2","Ramilowski_2015_Literature_supported","9620797,","HGNC:259","secreted","HGNC:9844","HGNC:259 HGNC:9844",""
"48","ADM","RAMP3","ADM RAMP3","Hou et al. 2020 (this publication)","30139742,","HGNC:259","secreted","HGNC:9845","HGNC:259 HGNC:9845",""
"49","ADM2","CALCR","ADM2 CALCR","Ramilowski_2015_Literature_supported","15692146,","HGNC:28898","secreted","HGNC:1440","HGNC:28898 HGNC:1440","CellphoneDB"
"50","ADM2","CALCRL","ADM2 CALCRL","Ramilowski_2015_Literature_supported","14615490,","HGNC:28898","secreted","HGNC:16709","HGNC:28898 HGNC:16709",""
"51","ADM2","RAMP1","ADM2 RAMP1","Ramilowski_2015_Literature_supported","12684503,","HGNC:28898","secreted","HGNC:9843","HGNC:28898 HGNC:9843",""
"52","ADM2","RAMP2","ADM2 RAMP2","Hou et al. 2020 (this publication)","30139743,","HGNC:28898","secreted","HGNC:9844","HGNC:28898 HGNC:9844",""
"53","ADM2","RAMP3","ADM2 RAMP3","Hou et al. 2020 (this publication)","30139742, ","HGNC:28898","secreted","HGNC:9845","HGNC:28898 HGNC:9845",""
"54","AFDN","EPHA7","AFDN EPHA7","Ramilowski_2015_Literature_supported","9707552,","HGNC:7137","plasma membrane","HGNC:3390","HGNC:7137 HGNC:3390",""
"55","AFDN","EPHB2","AFDN EPHB2","Ramilowski_2015_Literature_supported","9707552,","HGNC:7137","plasma membrane","HGNC:3393","HGNC:7137 HGNC:3393",""
"56","AFDN","EPHB3","AFDN EPHB3","Ramilowski_2015_Literature_supported","9707552,","HGNC:7137","plasma membrane","HGNC:3394","HGNC:7137 HGNC:3394",""
"57","AFDN","EPHB6","AFDN EPHB6","Ramilowski_2015_Literature_supported","9707552,","HGNC:7137","plasma membrane","HGNC:3396","HGNC:7137 HGNC:3396",""
"58","AFDN","F11R","AFDN F11R","Ramilowski_2015_Literature_supported","10856295,","HGNC:7137","plasma membrane","HGNC:14685","HGNC:7137 HGNC:14685",""
"59","AFDN","NECTIN1","AFDN NECTIN1","Ramilowski_2015_Literature_supported","10225955, 10617658,","HGNC:7137","plasma membrane","HGNC:9706","HGNC:7137 HGNC:9706",""
"60","AFDN","NECTIN2","AFDN NECTIN2","Ramilowski_2015_Literature_supported","10225955,","HGNC:7137","plasma membrane","HGNC:9707","HGNC:7137 HGNC:9707",""
"61","AFDN","NECTIN3","AFDN NECTIN3","Ramilowski_2015_Literature_supported","10744716, 11024295,","HGNC:7137","plasma membrane","HGNC:17664","HGNC:7137 HGNC:17664",""
"62","AFDN","NECTIN4","AFDN NECTIN4","Ramilowski_2015_Literature_supported","11544254,","HGNC:7137","plasma membrane","HGNC:19688","HGNC:7137 HGNC:19688",""
"63","AGRN","ATP1A3","AGRN ATP1A3","Ramilowski_2015_Literature_supported","16630822,","HGNC:329","secreted","HGNC:801","HGNC:329 HGNC:801",""
"64","AGRN","DAG1","AGRN DAG1","Hou et al. 2020 (this publication)","7531888,","HGNC:329","secreted","HGNC:2666","HGNC:329 HGNC:2666",""
"65","AGRN","LRP4","AGRN LRP4","Ramilowski_2015_Literature_supported","18848351,","HGNC:329","secreted","HGNC:6696","HGNC:329 HGNC:6696",""
"66","AGRN","MUSK","AGRN MUSK","Ramilowski_2015_Literature_supported","8653787,","HGNC:329","secreted","HGNC:7525","HGNC:329 HGNC:7525",""
"67","AGRP","MC3R","AGRP MC3R","Ramilowski_2015_Literature_supported","9311920,9819197,9893984, 11747427,","HGNC:330","secreted","HGNC:6931","HGNC:330 HGNC:6931","CellphoneDB"
"68","AGRP","MC4R","AGRP MC4R","Ramilowski_2015_Literature_supported","9311920,9299416,10318826, 11747427, 12815165,","HGNC:330","secreted","HGNC:6932","HGNC:330 HGNC:6932","CellphoneDB"
"69","AGRP","MC5R","AGRP MC5R","Ramilowski_2015_Literature_supported","9892020,9892020,","HGNC:330","secreted","HGNC:6933","HGNC:330 HGNC:6933","CellphoneDB"
"70","AGRP","SDC3","AGRP SDC3","Ramilowski_2015_Literature_supported","11461706,","HGNC:330","secreted","HGNC:10660","HGNC:330 HGNC:10660",""
"71","AGT","AGTR1","AGT AGTR1","Ramilowski_2015_Literature_supported","10993080, 15930094,21464395, 10193788, , 12006574,15930094,","HGNC:333","secreted","HGNC:336","HGNC:333 HGNC:336","CellphoneDB"
"72","AGT","AGTR2","AGT AGTR2","Ramilowski_2015_Literature_supported","8315512, 8185599,17138938, 21464395, 2775266, 7850406, 8242249,8185599,","HGNC:333","secreted","HGNC:338","HGNC:333 HGNC:338","CellphoneDB"
"73","AGT","LRP2","AGT LRP2","Ramilowski_2015_Literature_supported","15467006,","HGNC:333","secreted","HGNC:6694","HGNC:333 HGNC:6694",""
"74","AGT","MAS1","AGT MAS1","Ramilowski_2015_Literature_supported","12829792,12829792,","HGNC:333","secreted","HGNC:6899","HGNC:333 HGNC:6899",""
"75","AHSG","INSR","AHSG INSR","Ramilowski_2015_Literature_supported","7906861,","HGNC:349","secreted","HGNC:6091","HGNC:349 HGNC:6091",""
"76","ALB","LRP2","ALB LRP2","Ramilowski_2015_Literature_supported","11158855, 8898021,","HGNC:399","secreted","HGNC:6694","HGNC:399 HGNC:6694",""
"77","ALCAM","CD6","ALCAM CD6","Efremova et al. 2020 (CellphoneDB)","23602662,","HGNC:400","plasma membrane","HGNC:1691","HGNC:400 HGNC:1691",""
"78","ALCAM","CHL1","ALCAM CHL1","Hou et al. 2020 (this publication)","31300520,","HGNC:400","plasma membrane","HGNC:1939","HGNC:400 HGNC:1939",""
"79","ALCAM","L1CAM","ALCAM L1CAM","Hou et al. 2020 (this publication)","31300520,","HGNC:400","plasma membrane","HGNC:6470","HGNC:400 HGNC:6470",""
"80","ALCAM","NRP1","ALCAM NRP1","Hou et al. 2020 (this publication)","31300520,","HGNC:400","plasma membrane","HGNC:8004","HGNC:400 HGNC:8004",""
"81","ALKAL1","ALK","ALKAL1 ALK","Hou et al. 2020 (this publication)","26630010,","HGNC:33775","secreted","HGNC:427","HGNC:33775 HGNC:427",""
"82","ALKAL1","LTK","ALKAL1 LTK","Hou et al. 2020 (this publication)","26630010,","HGNC:33775","secreted","HGNC:6721","HGNC:33775 HGNC:6721",""
"83","ALKAL2","ALK","ALKAL2 ALK","Hou et al. 2020 (this publication)","26630010,","HGNC:27683","secreted","HGNC:427","HGNC:27683 HGNC:427",""
"84","ALKAL2","LTK","ALKAL2 LTK","Hou et al. 2020 (this publication)","26630010,","HGNC:27683","secreted","HGNC:6721","HGNC:27683 HGNC:6721",""
"85","AMBN","CD63","AMBN CD63","Hou et al. 2020 (this publication)","17708745, 21149578,","HGNC:452","secreted","HGNC:1692","HGNC:452 HGNC:1692",""
"86","AMELX","CD63","AMELX CD63","Hou et al. 2020 (this publication)","17708745,","HGNC:461","secreted","HGNC:1692","HGNC:461 HGNC:1692",""
"87","AMELX","LAMP1","AMELX LAMP1","Ramilowski_2015_Literature_supported","20382373,","HGNC:461","secreted","HGNC:6499","HGNC:461 HGNC:6499",""
"88","AMELX","LAMP2","AMELX LAMP2","Hou et al. 2020 (this publication)","17708745,","HGNC:461","secreted","HGNC:6501","HGNC:461 HGNC:6501",""
"89","AMELY","CD63","AMELY CD63","Hou et al. 2020 (this publication)","17708745,","HGNC:462","secreted","HGNC:1692","HGNC:462 HGNC:1692",""
"90","AMELY","LAMP1","AMELY LAMP1","Ramilowski_2015_Literature_supported","20382373,","HGNC:462","secreted","HGNC:6499","HGNC:462 HGNC:6499",""
"91","AMELY","LAMP2","AMELY LAMP2","Hou et al. 2020 (this publication)","17708745,","HGNC:462","secreted","HGNC:6501","HGNC:462 HGNC:6501",""
"92","AMH","ACVR1","AMH ACVR1","Ramilowski_2015_Literature_supported","14656470,","HGNC:464","secreted","HGNC:171","HGNC:464 HGNC:171",""
"93","AMH","AMHR2","AMH AMHR2","Ramilowski_2015_Literature_supported","7997230,8889695,","HGNC:464","secreted","HGNC:465","HGNC:464 HGNC:465",""
"94","AMH","EGFR","AMH EGFR","Ramilowski_2015_Literature_supported","8596488,","HGNC:464","secreted","HGNC:3236","HGNC:464 HGNC:3236",""
"95","ANG","PLXNB2","ANG PLXNB2","Hou et al. 2020 (this publication)","29100074,","HGNC:483","secreted","HGNC:9104","HGNC:483 HGNC:9104",""
"96","ANGPT1","ITGA5","ANGPT1 ITGA5","Ramilowski_2015_Literature_supported","15781448,","HGNC:484","secreted","HGNC:6141","HGNC:484 HGNC:6141",""
"97","ANGPT1","ITGB1","ANGPT1 ITGB1","Hou et al. 2020 (this publication)","19379779, 15690488,","HGNC:484","secreted","HGNC:6153","HGNC:484 HGNC:6153","Ramilowski_2015_Putative"
"98","ANGPT1","TEK","ANGPT1 TEK","Ramilowski_2015_Literature_supported","8980223,9723709, 8980223, 12427764, 8980224,","HGNC:484","secreted","HGNC:11724","HGNC:484 HGNC:11724","CellphoneDB"
"99","ANGPT1","TIE1","ANGPT1 TIE1","Ramilowski_2015_Literature_supported","11172728,","HGNC:484","secreted","HGNC:11809","HGNC:484 HGNC:11809",""
"100","ANGPT2","TEK","ANGPT2 TEK","Ramilowski_2015_Literature_supported","9204896,9723709,","HGNC:485","secreted","HGNC:11724","HGNC:485 HGNC:11724","CellphoneDB"
"101","ANGPT2","TIE1","ANGPT2 TIE1","Baccin et al. 2020 (RNA-Magnet)","27548530,","HGNC:485","secreted","HGNC:11809","HGNC:485 HGNC:11809",""
"102","ANGPT4","TEK","ANGPT4 TEK","Ramilowski_2015_Literature_supported","10051567, 15284220,","HGNC:487","secreted","HGNC:11724","HGNC:487 HGNC:11724","CellphoneDB"
"103","ANGPTL1","TEK","ANGPTL1 TEK","Ramilowski_2015_Literature_supported","10051567,","HGNC:489","secreted","HGNC:11724","HGNC:489 HGNC:11724",""
"104","ANGPTL2","ITGA5","ANGPTL2 ITGA5","Hou et al. 2020 (this publication)","29074299,","HGNC:490","secreted","HGNC:6141","HGNC:490 HGNC:6141",""
"105","ANGPTL2","ITGB1","ANGPTL2 ITGB1","Hou et al. 2020 (this publication)","29074299,","HGNC:490","secreted","HGNC:6153","HGNC:490 HGNC:6153",""
"106","ANGPTL2","LILRB2","ANGPTL2 LILRB2","Hou et al. 2020 (this publication)","26056041,","HGNC:490","secreted","HGNC:6606","HGNC:490 HGNC:6606",""
"107","ANGPTL3","ITGA5","ANGPTL3 ITGA5","Ramilowski_2015_Literature_supported","11877390,","HGNC:491","secreted","HGNC:6141","HGNC:491 HGNC:6141",""
"108","ANGPTL3","ITGAV","ANGPTL3 ITGAV","Ramilowski_2015_Literature_supported","11877390,","HGNC:491","secreted","HGNC:6150","HGNC:491 HGNC:6150",""
"109","ANGPTL3","ITGB3","ANGPTL3 ITGB3","Ramilowski_2015_Literature_supported","11877390,","HGNC:491","secreted","HGNC:6156","HGNC:491 HGNC:6156",""
"110","ANOS1","FGFR1","ANOS1 FGFR1","Ramilowski_2015_Literature_supported","19696444,","HGNC:6211","secreted","HGNC:3688","HGNC:6211 HGNC:3688",""
"111","ANOS1","SDC2","ANOS1 SDC2","Ramilowski_2015_Literature_supported","8832397,","HGNC:6211","secreted","HGNC:10659","HGNC:6211 HGNC:10659",""
"112","ANPEP","SELE","ANPEP SELE","Hou et al. 2020 (this publication)","29777742,","HGNC:500","plasma membrane","HGNC:10718","HGNC:500 HGNC:10718",""
"113","ANXA1","DYSF","ANXA1 DYSF","Ramilowski_2015_Literature_supported","14506282,","HGNC:533","plasma membrane; secreted","HGNC:3097","HGNC:533 HGNC:3097",""
"114","ANXA1","EGFR","ANXA1 EGFR","Ramilowski_2015_Literature_supported","15581623,","HGNC:533","plasma membrane; secreted","HGNC:3236","HGNC:533 HGNC:3236",""
"115","ANXA1","FPR1","ANXA1 FPR1","Ramilowski_2015_Literature_supported","10882119,10882119, 12560218,10882119,","HGNC:533","plasma membrane; secreted","HGNC:3826","HGNC:533 HGNC:3826","CellphoneDB"
"116","ANXA1","FPR2","ANXA1 FPR2","Ramilowski_2015_Literature_supported","12368905, 10882119, 12560218, 16278303,","HGNC:533","plasma membrane; secreted","HGNC:3827","HGNC:533 HGNC:3827","CellphoneDB"
"117","ANXA1","FPR3","ANXA1 FPR3","Ramilowski_2015_Literature_supported","15187149,","HGNC:533","plasma membrane; secreted","HGNC:3828","HGNC:533 HGNC:3828","CellphoneDB"
"118","ANXA2","ROBO4","ANXA2 ROBO4","Hou et al. 2020 (this publication)","29786451,","HGNC:537","plasma membrane; secreted","HGNC:17985","HGNC:537 HGNC:17985",""
"119","ANXA2","TLR2","ANXA2 TLR2","Hou et al. 2020 (this publication)","26885373,","HGNC:537","plasma membrane; secreted","HGNC:11848","HGNC:537 HGNC:11848",""
"120","APELA","APLNR","APELA APLNR","Efremova et al. 2020 (CellphoneDB)","25639753, 28137936, 26611206","HGNC:48925","secreted","HGNC:339","HGNC:48925 HGNC:339",""
"121","APLN","APLNR","APLN APLNR","Ramilowski_2015_Literature_supported","10617103, 9792798,12603839, 15341513, 10777510, 12939143, 11336787,12603839,","HGNC:16665","secreted","HGNC:339","HGNC:16665 HGNC:339","CellphoneDB"
"122","APOB","ENO1","APOB ENO1","Hou et al. 2020 (this publication)","29997113,","HGNC:603","secreted","HGNC:3350","HGNC:603 HGNC:3350",""
"123","APOB","LDLR","APOB LDLR","Ramilowski_2015_Literature_supported","11327878,12031600,","HGNC:603","secreted","HGNC:6547","HGNC:603 HGNC:6547",""
"124","APOB","LRP2","APOB LRP2","Ramilowski_2015_Literature_supported","10330424,","HGNC:603","secreted","HGNC:6694","HGNC:603 HGNC:6694",""
"125","APOB","LSR","APOB LSR","Ramilowski_2015_Literature_supported","7615497,","HGNC:603","secreted","HGNC:29572","HGNC:603 HGNC:29572",""
"126","APOB","OLR1","APOB OLR1","Ramilowski_2015_Literature_supported","9763524,","HGNC:603","secreted","HGNC:8133","HGNC:603 HGNC:8133",""
"127","APOD","LEPR","APOD LEPR","Ramilowski_2015_Literature_supported","11344130,","HGNC:612","secreted","HGNC:6554","HGNC:612 HGNC:6554",""
"128","APOE","LDLR","APOE LDLR","Ramilowski_2015_Literature_supported","11327878,12036962,","HGNC:613","secreted","HGNC:6547","HGNC:613 HGNC:6547",""
"129","APOE","LRP1","APOE LRP1","Ramilowski_2015_Literature_supported","2779654, 22622580,","HGNC:613","secreted","HGNC:6692","HGNC:613 HGNC:6692",""
"130","APOE","LRP2","APOE LRP2","Ramilowski_2015_Literature_supported","1464627,","HGNC:613","secreted","HGNC:6694","HGNC:613 HGNC:6694",""
"131","APOE","LRP5","APOE LRP5","Ramilowski_2015_Literature_supported","9832610),","HGNC:613","secreted","HGNC:6697","HGNC:613 HGNC:6697",""
"132","APOE","LRP8","APOE LRP8","Ramilowski_2015_Literature_supported","12950167,12167620, 12950167,","HGNC:613","secreted","HGNC:6700","HGNC:613 HGNC:6700",""
"133","APOE","SCARB1","APOE SCARB1","Ramilowski_2015_Literature_supported","12138091,","HGNC:613","secreted","HGNC:1664","HGNC:613 HGNC:1664",""
"134","APOE","SORL1","APOE SORL1","Ramilowski_2015_Literature_supported","11294867,","HGNC:613","secreted","HGNC:11185","HGNC:613 HGNC:11185",""
"135","APOE","VLDLR","APOE VLDLR","Ramilowski_2015_Literature_supported","12870663,12167620,","HGNC:613","secreted","HGNC:12698","HGNC:613 HGNC:12698",""
"136","APP","CAV1","APP CAV1","Ramilowski_2015_Literature_supported","9553108,","HGNC:620","plasma membrane; secreted","HGNC:1527","HGNC:620 HGNC:1527",""
"137","APP","CD74","APP CD74","Ramilowski_2015_Literature_supported","19849849,","HGNC:620","plasma membrane; secreted","HGNC:1697","HGNC:620 HGNC:1697","CellphoneDB"
"138","APP","FPR2","APP FPR2","Ramilowski_2015_Literature_supported","11316806, 11160457,","HGNC:620","plasma membrane; secreted","HGNC:3827","HGNC:620 HGNC:3827","CellphoneDB"
"139","APP","GPC1","APP GPC1","Ramilowski_2015_Literature_supported","15084524,","HGNC:620","plasma membrane; secreted","HGNC:4449","HGNC:620 HGNC:4449",""
"140","APP","LRP1","APP LRP1","Ramilowski_2015_Literature_supported","12212791, 7543026,","HGNC:620","plasma membrane; secreted","HGNC:6692","HGNC:620 HGNC:6692",""
"141","APP","NCSTN","APP NCSTN","Ramilowski_2015_Literature_supported","10993067,","HGNC:620","plasma membrane; secreted","HGNC:17091","HGNC:620 HGNC:17091",""
"142","APP","TNFRSF21","APP TNFRSF21","Ramilowski_2015_Literature_supported","19225519,","HGNC:620","plasma membrane; secreted","HGNC:13469","HGNC:620 HGNC:13469",""
"143","AREG","EGFR","AREG EGFR","Ramilowski_2015_Literature_supported","2466334,10085134,","HGNC:651","secreted","HGNC:3236","HGNC:651 HGNC:3236","CellphoneDB"
"144","AREG","ERBB3","AREG ERBB3","Ramilowski_2015_Literature_supported","8702723,","HGNC:651","secreted","HGNC:3431","HGNC:651 HGNC:3431",""
"145","ARF1","CHRM3","ARF1 CHRM3","Ramilowski_2015_Literature_supported","12799371,","HGNC:652","plasma membrane","HGNC:1952","HGNC:652 HGNC:1952",""
"146","ARF1","INSR","ARF1 INSR","Ramilowski_2015_Literature_supported","9197239,","HGNC:652","plasma membrane","HGNC:6091","HGNC:652 HGNC:6091",""
"147","ARF1","PLD2","ARF1 PLD2","Ramilowski_2015_Literature_supported","12519790, 10801846,","HGNC:652","plasma membrane","HGNC:9068","HGNC:652 HGNC:9068",""
"148","ARTN","GFRA1","ARTN GFRA1","Ramilowski_2015_Literature_supported","9883723,","HGNC:727","secreted","HGNC:4243","HGNC:727 HGNC:4243",""
"149","ARTN","GFRA3","ARTN GFRA3","Ramilowski_2015_Literature_supported","9883723,9883723,","HGNC:727","secreted","HGNC:4245","HGNC:727 HGNC:4245",""
"150","ARTN","RET","ARTN RET","Ramilowski_2015_Literature_supported","9883723,","HGNC:727","secreted","HGNC:9967","HGNC:727 HGNC:9967",""
"151","ASIP","ATRN","ASIP ATRN","Ramilowski_2015_Literature_supported","11137996,","HGNC:745","secreted","HGNC:885","HGNC:745 HGNC:885",""
"152","ASIP","F11R","ASIP F11R","Ramilowski_2015_Literature_supported","11447115,","HGNC:745","secreted","HGNC:14685","HGNC:745 HGNC:14685",""
"153","ASIP","MC1R","ASIP MC1R","Ramilowski_2015_Literature_supported","12851328,9058374,","HGNC:745","secreted","HGNC:6929","HGNC:745 HGNC:6929",""
"154","ASIP","MC2R","ASIP MC2R","Ramilowski_2015_Literature_supported","9058374,","HGNC:745","secreted","HGNC:6930","HGNC:745 HGNC:6930",""
"155","ASIP","MC3R","ASIP MC3R","Ramilowski_2015_Literature_supported","9058374,","HGNC:745","secreted","HGNC:6931","HGNC:745 HGNC:6931",""
"156","ASIP","MC4R","ASIP MC4R","Ramilowski_2015_Literature_supported","9058374,","HGNC:745","secreted","HGNC:6932","HGNC:745 HGNC:6932",""
"157","ASIP","MC5R","ASIP MC5R","Ramilowski_2015_Literature_supported","9058374,","HGNC:745","secreted","HGNC:6933","HGNC:745 HGNC:6933",""
"158","AVP","AVPR1A","AVP AVPR1A","Ramilowski_2015_Literature_supported","1560825, 8106369,8106369, 9884074, 9334232, 10780976, 9322919, 12446593, 9459574, 15084136, 9264324, 10866830, 9864265, 10519430,8106369,","HGNC:894","secreted","HGNC:895","HGNC:894 HGNC:895","CellphoneDB_flipped"
