"","ligand","receptor","Ligand.receptor.pair","Source","PMID.support","Ligand.HGNC.ID","Ligand.location","Receptor.HGNC.ID","HGNC.L.R","secondary.source."
"1183","ICOSLG","CD28","ICOSLG CD28","Hou et al. 2020 (this publication)","21530327, 23470321,","HGNC:17087","plasma membrane","HGNC:1653","HGNC:17087 HGNC:1653",""
"1184","ICOSLG","CTLA4","ICOSLG CTLA4","Hou et al. 2020 (this publication)","21530327,","HGNC:17087","plasma membrane","HGNC:2505","HGNC:17087 HGNC:2505",""
"1185","ICOS","ICOSLG","ICOS ICOSLG","Efremova et al. 2020 (CellphoneDB)","23954143,","HGNC:5351","plasma membrane","HGNC:17087","HGNC:5351 HGNC:17087",""
"1186","ICOSLG","ICOS","ICOSLG ICOS","Noël et al. 2020 (ICELLNET)","14599850, 23954143,","HGNC:17087","plasma membrane","HGNC:5351","HGNC:17087 HGNC:5351",""
"1187","IFNA1","IFNAR1","IFNA1 IFNAR1","Ramilowski_2015_Literature_supported","11698684,7932753,","HGNC:5417","secreted","HGNC:5432","HGNC:5417 HGNC:5432",""
"1188","IFNA1","IFNAR2","IFNA1 IFNAR2","Ramilowski_2015_Literature_supported","11698684,","HGNC:5417","secreted","HGNC:5433","HGNC:5417 HGNC:5433",""
"1189","IFNA10","IFNAR1","IFNA10 IFNAR1","Ramilowski_2015_Literature_supported","21856167,","HGNC:5418","secreted","HGNC:5432","HGNC:5418 HGNC:5432",""
"1190","IFNA10","IFNAR2","IFNA10 IFNAR2","Ramilowski_2015_Literature_supported","21856167,","HGNC:5418","secreted","HGNC:5433","HGNC:5418 HGNC:5433",""
"1191","IFNA13","IFNAR1","IFNA13 IFNAR1","Ramilowski_2015_Literature_supported","21856167,","HGNC:5419","secreted","HGNC:5432","HGNC:5419 HGNC:5432",""
"1192","IFNA13","IFNAR2","IFNA13 IFNAR2","Ramilowski_2015_Literature_supported","21856167,","HGNC:5419","secreted","HGNC:5433","HGNC:5419 HGNC:5433",""
"1193","IFNA14","IFNAR1","IFNA14 IFNAR1","Ramilowski_2015_Literature_supported","21856167,","HGNC:5420","secreted","HGNC:5432","HGNC:5420 HGNC:5432",""
"1194","IFNA14","IFNAR2","IFNA14 IFNAR2","Ramilowski_2015_Literature_supported","21856167,","HGNC:5420","secreted","HGNC:5433","HGNC:5420 HGNC:5433",""
"1195","IFNA16","IFNAR1","IFNA16 IFNAR1","Ramilowski_2015_Literature_supported","21856167,","HGNC:5421","secreted","HGNC:5432","HGNC:5421 HGNC:5432",""
"1196","IFNA16","IFNAR2","IFNA16 IFNAR2","Ramilowski_2015_Literature_supported","21856167,","HGNC:5421","secreted","HGNC:5433","HGNC:5421 HGNC:5433",""
"1197","IFNA17","IFNAR1","IFNA17 IFNAR1","Ramilowski_2015_Literature_supported","21856167,","HGNC:5422","secreted","HGNC:5432","HGNC:5422 HGNC:5432",""
"1198","IFNA17","IFNAR2","IFNA17 IFNAR2","Ramilowski_2015_Literature_supported","21856167,","HGNC:5422","secreted","HGNC:5433","HGNC:5422 HGNC:5433",""
"1199","IFNA2","IFNAR1","IFNA2 IFNAR1","Ramilowski_2015_Literature_supported","1834641,","HGNC:5423","secreted","HGNC:5432","HGNC:5423 HGNC:5432",""
"1200","IFNA2","IFNAR2","IFNA2 IFNAR2","Ramilowski_2015_Literature_supported","10339405, 11888273,","HGNC:5423","secreted","HGNC:5433","HGNC:5423 HGNC:5433",""
"1201","IFNA21","IFNAR1","IFNA21 IFNAR1","Ramilowski_2015_Literature_supported","21856167,","HGNC:5424","secreted","HGNC:5432","HGNC:5424 HGNC:5432",""
"1202","IFNA21","IFNAR2","IFNA21 IFNAR2","Ramilowski_2015_Literature_supported","21856167,","HGNC:5424","secreted","HGNC:5433","HGNC:5424 HGNC:5433",""
"1203","IFNA4","IFNAR1","IFNA4 IFNAR1","Ramilowski_2015_Literature_supported","21856167,","HGNC:5425","secreted","HGNC:5432","HGNC:5425 HGNC:5432",""
"1204","IFNA4","IFNAR2","IFNA4 IFNAR2","Ramilowski_2015_Literature_supported","21856167,","HGNC:5425","secreted","HGNC:5433","HGNC:5425 HGNC:5433",""
"1205","IFNA5","IFNAR1","IFNA5 IFNAR1","Ramilowski_2015_Literature_supported","21856167,","HGNC:5426","secreted","HGNC:5432","HGNC:5426 HGNC:5432",""
"1206","IFNA5","IFNAR2","IFNA5 IFNAR2","Ramilowski_2015_Literature_supported","10395669,","HGNC:5426","secreted","HGNC:5433","HGNC:5426 HGNC:5433",""
"1207","IFNA6","IFNAR1","IFNA6 IFNAR1","Ramilowski_2015_Literature_supported","21856167,","HGNC:5427","secreted","HGNC:5432","HGNC:5427 HGNC:5432",""
"1208","IFNA6","IFNAR2","IFNA6 IFNAR2","Ramilowski_2015_Literature_supported","21856167,","HGNC:5427","secreted","HGNC:5433","HGNC:5427 HGNC:5433",""
"1209","IFNA7","IFNAR1","IFNA7 IFNAR1","Ramilowski_2015_Literature_supported","21856167,","HGNC:5428","secreted","HGNC:5432","HGNC:5428 HGNC:5432",""
"1210","IFNA7","IFNAR2","IFNA7 IFNAR2","Ramilowski_2015_Literature_supported","21856167,","HGNC:5428","secreted","HGNC:5433","HGNC:5428 HGNC:5433",""
"1211","IFNA8","IFNAR1","IFNA8 IFNAR1","Ramilowski_2015_Literature_supported","21856167,","HGNC:5429","secreted","HGNC:5432","HGNC:5429 HGNC:5432",""
