"","ligand","receptor"
"160","Bmp10","Acvrl1,Acvr2a"
"161","Gdf2","Acvrl1,Acvr2a"
"162","Bmp15","Acvr2a"
"163","Bmp2","Bmpr1a,Acvr2a"
"164","Bmp2","Bmpr1b,Acvr2a"
"165","Bmp4","Bmpr1a,Acvr2a"
"166","Bmp4","Bmpr1b,Acvr2a"
"167","Bmp5","Bmpr1a,Acvr2a"
"168","Bmp5","Bmpr1b,Acvr2a"
"169","Bmp6","Bmpr1a,Acvr2a"
"170","Bmp6","Bmpr1b,Acvr2a"
"171","Bmp7","Bmpr1a,Acvr2a"
"172","Bmp7","Bmpr1b,Acvr2a"
"173","Bmp8a","Bmpr1a,Acvr2a"
"174","Bmp8a","Bmpr1b,Acvr2a"
"175","Bmp8b","Bmpr1a,Acvr2a"
"176","Bmp8b","Bmpr1b,Acvr2a"
"177","Gdf5","Bmpr1a,Acvr2a"
"178","Gdf6","Bmpr1a,Acvr2a"
"179","Gdf7","Bmpr1a,Acvr2a"
"180","Gdf5","Bmpr1b,Acvr2a"
"181","Gdf6","Bmpr1b,Acvr2a"
"182","Gdf7","Bmpr1b,Acvr2a"
"183","Gdf11","Tgfbr1,Acvr2a"
"184","Gdf9","Acvr2a"
"185","Inha","Acvr2a"
"186","Inhbc","Acvr2a"
"187","Inhbe","Acvr2a"
"188","Lefty1","Acvr2a"
"189","Lefty2","Acvr2a"
"190","Mstn","Tgfbr1,Acvr2a"
"191","Tdgf1","Acvr2a"
"192","Bmp10","Acvrl1,Acvr2b"
"193","Gdf2","Acvrl1,Acvr2b"
"194","Bmp15","Acvr2b"
"195","Bmp2","Bmpr1a,Acvr2b"
"196","Bmp2","Bmpr1b,Acvr2b"
"197","Bmp3","Acvr2b"
"198","Bmp4","Bmpr1a,Acvr2b"
"199","Bmp4","Bmpr1b,Acvr2b"
"200","Bmp5","Bmpr1a,Acvr2b"
"201","Bmp5","Bmpr1b,Acvr2b"
"202","Bmp6","Bmpr1a,Acvr2b"
"203","Bmp6","Bmpr1b,Acvr2b"
"204","Bmp7","Bmpr1a,Acvr2b"
"205","Bmp7","Bmpr1b,Acvr2b"
"206","Bmp8a","Bmpr1a,Acvr2b"
"207","Bmp8a","Bmpr1b,Acvr2b"
"208","Bmp8b","Bmpr1a,Acvr2b"
"209","Bmp8b","Bmpr1b,Acvr2b"
"210","Gdf5","Bmpr1a,Acvr2b"
"211","Gdf6","Bmpr1a,Acvr2b"
"212","Gdf7","Bmpr1a,Acvr2b"
"213","Gdf5","Bmpr1b,Acvr2b"
"214","Gdf6","Bmpr1b,Acvr2b"
"215","Gdf7","Bmpr1b,Acvr2b"
"216","Gdf11","Tgfbr1,Acvr2b"
"217","Inha","Acvr2b"
"218","Inhbc","Acvr2b"
"219","Inhbe","Acvr2b"
"220","Lefty1","Acvr2b"
"221","Lefty2","Acvr2b"
"222","Mstn","Tgfbr1,Acvr2b"
"223","Bmp10","Acvrl1,Bmpr2"
"224","Bmp7","Acvrl1"
"225","Gdf2","Acvrl1,Bmpr2"
"226","Tgfb1","Acvrl1"
"227","Tgfb3","Acvrl1"
"228","Ada","Adora1"
"229","Ada","Adora2b"
"230","Ada","Dpp4"
"231","Adam10","Axl"
"232","Adam10","Cadm1"
"233","Adam10","Efna3"
"234","Adam10","Epha3"
"235","Adam10","Erbb2"
"236","Adam10","Fcer2a"
"237","Adam10","Gpnmb"
"238","Adam10","Il6ra"
"239","Adam10","Itgav"
"240","Adam10","Lrp1"
"241","Adam10","Notch1"
"242","Adam10","Notch3"
"243","Adam10","Tspan10"
"244","Adam10","Tspan14"
"245","Adam10","Tspan15"
"246","Adam10","Tspan17"
"247","Adam10","Tspan5"
"248","Adam11","Itga4"
"249","Lgi1","Adam11"
"250","Lgi2","Adam11"
"251","Lgi4","Adam11"
"252","Adam12","Epha1"
"253","Adam12","Itga9"
"254","Adam12","Itgb1"
"255","Adam12","Sdc4"
"256","Adam12","Tgfbr2"
"257","Adam15","Itga5"
"258","Adam15","Itga9"
"259","Adam15","Itgav"
"260","Adam15","Itgb1"
"261","Adam15","Itgb3"
"262","Adam17","Aplp2"
"263","Adam17","Cd40"
"264","Adam17","Cd9"
"265","Adam17","Erbb4"
"266","Adam17","Ghr"
"267","Adam17","Itga5"
"268","Adam17","Itga6"
"269","Adam17","Itgb1"
"270","Adam17","Itgb6"
"271","Adam17","Nectin4"
"272","Adam17","Notch1"
"273","Adam17","Notch2"
"274","Adam17","Rhbdf2"
"275","Timp3","Adam17"
"276","Adam17","Tnfrsf1a"
"277","Adam17","Tnfrsf1b"
"278","Lgi1","Adam22"
"279","Lgi2","Adam22"
"280","Lgi3","Adam22"
"281","Lgi4","Adam22"
"282","Adam23","Itga4"
"283","Adam23","Itga5"
