"","ligand","receptor"
"169","GDF2","ACVRL1,ACVR2A"
"170","BMP15","ACVR2A"
"171","BMP2","BMPR1A,ACVR2A"
"172","BMP2","BMPR1B,ACVR2A"
"173","BMP4","BMPR1A,ACVR2A"
"174","BMP4","BMPR1B,ACVR2A"
"175","BMP5","BMPR1A,ACVR2A"
"176","BMP5","BMPR1B,ACVR2A"
"177","BMP6","BMPR1A,ACVR2A"
"178","BMP6","BMPR1B,ACVR2A"
"179","BMP7","BMPR1A,ACVR2A"
"180","BMP7","BMPR1B,ACVR2A"
"181","BMP8A","BMPR1A,ACVR2A"
"182","BMP8A","BMPR1B,ACVR2A"
"183","BMP8B","BMPR1A,ACVR2A"
"184","BMP8B","BMPR1B,ACVR2A"
"185","GDF5","BMPR1A,ACVR2A"
"186","GDF6","BMPR1A,ACVR2A"
"187","GDF7","BMPR1A,ACVR2A"
"188","GDF5","BMPR1B,ACVR2A"
"189","GDF6","BMPR1B,ACVR2A"
"190","GDF7","BMPR1B,ACVR2A"
"191","CFC1","ACVR2A"
"192","GDF11","TGFBR1,ACVR2A"
"193","GDF9","ACVR2A"
"194","INHA","ACVR2A"
"195","INHBC","ACVR2A"
"196","INHBE","ACVR2A"
"197","LEFTY1","ACVR2A"
"198","LEFTY2","ACVR2A"
"199","MSTN","TGFBR1,ACVR2A"
"200","TDGF1","ACVR2A"
"201","BMP10","ACVRL1,ACVR2B"
"202","GDF2","ACVRL1,ACVR2B"
"203","BMP15","ACVR2B"
"204","BMP2","BMPR1A,ACVR2B"
"205","BMP2","BMPR1B,ACVR2B"
"206","BMP3","ACVR2B"
"207","BMP4","BMPR1A,ACVR2B"
"208","BMP4","BMPR1B,ACVR2B"
"209","BMP5","BMPR1A,ACVR2B"
"210","BMP5","BMPR1B,ACVR2B"
"211","BMP6","BMPR1A,ACVR2B"
"212","BMP6","BMPR1B,ACVR2B"
"213","BMP7","BMPR1A,ACVR2B"
"214","BMP7","BMPR1B,ACVR2B"
"215","BMP8A","BMPR1A,ACVR2B"
"216","BMP8A","BMPR1B,ACVR2B"
"217","BMP8B","BMPR1A,ACVR2B"
"218","BMP8B","BMPR1B,ACVR2B"
"219","GDF5","BMPR1A,ACVR2B"
"220","GDF6","BMPR1A,ACVR2B"
"221","GDF7","BMPR1A,ACVR2B"
"222","GDF5","BMPR1B,ACVR2B"
"223","GDF6","BMPR1B,ACVR2B"
"224","GDF7","BMPR1B,ACVR2B"
"225","GDF11","TGFBR1,ACVR2B"
"226","INHA","ACVR2B"
"227","INHBC","ACVR2B"
"228","INHBE","ACVR2B"
"229","LEFTY1","ACVR2B"
"230","LEFTY2","ACVR2B"
"231","MSTN","TGFBR1,ACVR2B"
"232","BMP10","ACVRL1,BMPR2"
"233","GDF2","ACVRL1,BMPR2"
"234","TGFB1","ACVRL1"
"235","TGFB3","ACVRL1"
"236","ADAM10","AXL"
"237","ADAM10","CADM1"
"238","ADAM10","CD44"
"239","ADAM10","EFNA3"
"240","ADAM10","EPHA3"
"241","ADAM10","GPNMB"
"242","ADAM10","IL6R"
"243","ADAM10","MET"
"244","ADAM10","NOTCH1"
"245","ADAM10","NOTCH2"
"246","ADAM10","NRCAM"
"247","ADAM10","TREM2"
"248","ADAM10","TSPAN10"
"249","ADAM10","TSPAN12"
"250","ADAM10","TSPAN14"
"251","ADAM10","TSPAN15"
"252","ADAM10","TSPAN17"
"253","ADAM10","TSPAN5"
"254","ADAM11","ITGA4"
"255","LGI1","ADAM11"
"256","LGI2","ADAM11"
"257","LGI4","ADAM11"
"258","ADAM12","ITGA9"
"259","ADAM12","ITGB1"
"260","ADAM12","SDC4"
"261","ADAM15","ITGA5"
"262","ADAM15","ITGA9"
"263","ADAM15","ITGAV"
"264","ADAM15","ITGB1"
"265","ADAM15","ITGB3"
"266","ADAM17","ERBB4"
"267","ADAM17","IL6R"
"268","ADAM17","ITGA5"
"269","ADAM17","ITGB1"
"270","ADAM17","MET"
"271","ADAM17","MUC1"
"272","ADAM17","NOTCH1"
"273","ADAM17","RHBDF2"
"274","TIMP3","ADAM17"
"275","LGI1","ADAM22"
"276","LGI2","ADAM22"
"277","LGI3","ADAM22"
"278","LGI4","ADAM22"
"279","ADAM23","ITGA4"
"280","ADAM23","ITGA5"
"281","ADAM23","ITGB3"
"282","LGI1","ADAM23"
"283","LGI2","ADAM23"
"284","LGI3","ADAM23"
"285","LGI4","ADAM23"
"286","ADAM28","ITGA4"
"287","ADAM29","ITGA4"
"288","ADAM2","CD9"
"289","ADAM2","ITGA6"
"290","ADAM2","ITGA9"
"291","ADAM2","ITGB1"
"292","ADAM2","ITGB7"
"293","ADAM7","ITGA4"
"294","ADAM7","ITGB7"
"295","ADAM9","ITGA3"
"296","ADAM9","ITGA6"
"297","ADAM9","ITGAV"
"298","ADAM9","ITGB1"
"299","ADAM9","ITGB5"
"300","ADAMTS3","CCBE1"
"301","ADA","DPP4"
"302","ADM","ADCYAP1R1"
"303","ADM2","ADCYAP1R1"
"304","AVP","ADCYAP1R1"
"305","CALCA","ADCYAP1R1"
"306","CALCB","ADCYAP1R1"
"307","CGA","ADCYAP1R1"
"308","CRH","ADCYAP1R1"
"309","FSHB","ADCYAP1R1"
"310","GCG","ADCYAP1R1"
"311","GHRH","ADCYAP1R1"
"312","GIP","ADCYAP1R1"
"313","IAPP","ADCYAP1R1"
"314","INSL3","ADCYAP1R1"
"315","LHB","ADCYAP1R1"
"316","NPS","ADCYAP1R1"
"317","POMC","ADCYAP1R1"
"318","PTH","ADCYAP1R1"
"319","PTH2","ADCYAP1R1"
"320","PTHLH","ADCYAP1R1"
"321","RLN2","ADCYAP1R1"
"322","RLN3","ADCYAP1R1"
"323","SCT","ADCYAP1R1"
"324","TSHB","ADCYAP1R1"
"325","VIP","ADCYAP1R1"
"326","ADCYAP1","ADCYAP1R1"
"327","ADCYAP1","ADRB2"
"328","ADCYAP1","ADRB3"
"329","ADCYAP1","DPP4"
"330","ADCYAP1","GPR20"
"331","ADCYAP1","GPR84"
"332","ADCYAP1","PTH1R"
"333","ADCYAP1","RAMP2"
"334","ADCYAP1","RAMP3"
"335","ADCYAP1","SCTR"
"336","ADCYAP1","TSHR"
"337","ADCYAP1","VIPR1"
"338","ADCYAP1","VIPR2"
"339","ADGRB1","RTN4R"
"340","ADGRB1","RTN4RL1"
"341","ADGRB1","RTN4RL2"
"342","SHANK1","ADGRB2"
"343","CD55","ADGRE2"
"344","CD55","ADGRE5"
"345","TGM2","ADGRG1"
"346","VSTM1","ADGRG3"
"347","FAM3C","ADGRG5"
"348","TNFSF9","ADGRG5"
"349","NRG1","ADGRL1"
"350","SHANK1","ADGRL1"
"351","SHANK1","ADGRL2"
"352","EDN1","ADGRL4"
"353","GPHA2","ADGRV1"
"354","IFNE","ADGRV1"
"355","PDGFB","ADGRV1"
"356","XCL1","ADGRV1"
"357","ADIPOQ","ADIPOR1"
"358","ADIPOQ","ADIPOR2"
"359","ADIPOQ","ASGR2"
"360","ADIPOQ","CD200R1"
"361","ADIPOQ","CLEC2D"
"362","ADIPOQ","CNR2"
"363","ADIPOQ","GPR152"
"364","ADIPOQ","GPR42"
"365","ADIPOQ","PROKR2"
